reviews,Judgement
Worthless if I can't sync FB.,0
"Loud and clear sound, great!",0
"It works perfect except when I'm out of country, then I need good wifi. But I can't really complain, the fact that I can talk to my family oversea for free is priceless.",0
Love it,0
User friendly,1
Great handling multiple accounts... and more TweetCaster is great for handling multiple accounts across multiple devices. Long time Twitter user.  Long time TweetCaster user. Very functional.,1
Nice Not a bad little app,0
"Very good quality, saves you money over those paying phone cards that rip you off",1
"I love Viber, x through this application I can communicate with my family and friends, Thanks Viber,.",0
Excellent app for college students!,0
Great for lectures!!,0
Don't Update Every update makes it worse.,1
Awesome Best game ever,0
"I would give it 5 stars if it weren't for the annoying Sticker notifications.Sometimes I open The software in a hurry, thinking that I have missed calls, while in fact it was only sticker notifications. Fix this and I will give it five stars.",1
"Super app call quality is excellent even in poor connections, thumps up.",0
It is good for calling international good service and free what else we need,1
"This looks like it could be a good game, IF you can get it to run, and keep it running. It failed to load past the SEGA screen on iPhone 3GS and iPhone 3G, and crashes for no apparent  reason on generation 1 iPad. All running iOS 5.1.1",1
So like it,0
Great way to talk to family overseas!,0
Nice apps I ever had It very handy & very usefull....vslue 4 money...,0
"I actually love this app but it crashes and kicks you off at times. I use TweetCaster for iPad so maybe that's why because they recently put the iPad version out. Anyhow they ate working on it and tech reps do send me updates all the time. Other then that, this app is fantastic.. I would have given 5stars if it was not kicking me off but 4 stars are good enough for right now. Hopefully you guys fix these minor issues. Thanx",1
Love it!! Very user friendly!! Great app! :),0
Good product. Worth it! Ok,0
International airline pilot...just used for first time to call wife back in the states from Australia...worked great...excellent sound quality with no interruptions...highly recommend,1
Great for overseas!,0
"great app and i use it a lot, but when someone send his location to me and i try to open it in Maps App, i can see different in location!!!please correct it ...i try it on iPad 2, iPhone 4 , ?Galaxy S and the same problemAlso, there is no iPad version. And this problem is for any communication program in the store!!",1
Great game,0
Cool,0
Awesome!!!,0
Great app Very easy to use!,0
tweetcaster I could give it mire but it's slow and always closes!!!,1
Getting connected with my family over seas for free!!! Thank you Viber!,1
Not good as I expected My yahoo photo of the account doesn't appear... Profile photo of some contacts doesnt appear... Thanks for all the rest and notification for the online contacts doesn't work,1
cant play wen finish downloaded it keep on crashing,1
Awesome It is so endless,0
"Hate it Worked well until the last update, now it crashes constantly and refuses to download images without crashing. I've uninstalled...",1
"Post later In general I think the app is ugly and cluttered however it always works. Except I'm having an issue with sending tweets that are posted for later. Somehow the app changes the time,  for example I want a tweet sent at 1115, it has changed it to ever time except that one. It's been doing this for a few weeks.",1
Tons of great features!,0
"My ballet buddy Mia and I can't call each other cuz we can't hear each other when we call, u really need to fix that, I would give viber a for sure 3 star rating!!!",1
"Bad Laptop/ desktop version is awesome , both for Mac and Windows,  but this ? Wtf",1
Re-sets phone New update keeps causing my phone to re-set. A shame because I like the app. Any plans to resolve this issue?,1
"Good , very clear  , itried inside egypt",0
Freezes a lot and only allows so many followings per hour!,1
Great app,0
Nice,0
I am in the UK and I love this app! And it is saving me money.,0
Awesomeness,0
Just started using this app for classes. Has awesome features and helps me stay very organized.  Great for quit notes and editing.,1
Calls & messages are unavailable. Having this error since last 3 days :(,1
"My wife and I share business and personal notebooks across our iPhones, iPads and MacBooks. I love that I can keep track of notes on all devices and that we can collaborate at the same time on documents. The familiar binder style is easy to organize and utilize. I never could get into Evernote, but am completely devoted to OneNote.",1
"Soo much more convenient than the slow scanner on my computer. And, I can sign important docs and send on the go now!!! Awesome idea and awesome app!!!",1
Best app in the world !!!!!,0
"It worked great on my iPhone 5 with iOS 7. Then I upgraded the iOS eight on my iPhone 5. Now I bought an iPhone six running iOS 8. It installed fine. However, it won't let me sign on.it doesn't send me an access code.",1
Works for me Does what it's supposed to do ...,0
This game is beast,0
"I don't see how Anyone can live without it. Great app!  Photos, location, free calls worldwide, freeze SMS worldwide. What's not to love?",1
messed up This app is pretty awesome but you made that blue bar way too big one star until you fix uninstalling and reinstalling previous version,1
Excellent,0
